title,link,location,company,salary,description
"Full stack (Node.js, React) developer",https://ekaterinburg.hh.ru/vacancy/41722560?query=react,Москва,ООО ОнТаргет ЛАБС,5 500-6 500 USD,
"Full-stack web engineer (.NET Core, Vue.js) - удалённая работа",https://ekaterinburg.hh.ru/vacancy/41737634?query=react,США,Pranas,до 250 000 руб.,"Cсылки на проекты, в которых участвовали. Пример кода C#, написаный целиком собственноручно (также будет плюсом доп пример на JS/TS)."
"Ведущий frontend-разработчик (JavaScript, React)",https://ekaterinburg.hh.ru/vacancy/40173660?query=react,Москва,Elfsight Inc.,110 000-150 000 руб.,Разработка и развитие продуктов и сервисов Elfsight. Разработка и поддержка библиотеки UI-компонентов.
React Native Developer,https://ekaterinburg.hh.ru/vacancy/41627259?query=react,Москва,BookedBy,3 500-5 500 USD,"Build, and maintain React Native applications with clean code. Assist with building estimates. Deployment on React Native application to both..."
"Frontend разработчик (React, TypeScript)",https://ekaterinburg.hh.ru/vacancy/41779653?query=react,Санкт-Петербург,ООО Центр Орбита,,Кросс-браузерная и кросс-платформенная разработка приложений банка.
Middle Node.js разработчик,https://ekaterinburg.hh.ru/vacancy/41497691?query=react,Москва,InTevo,90 000-160 000 руб.,"Разработка приложений для автоматизации бизнес-операций, в частности для автоматизации пищевого производства (самостоятельные версии для ПК, планшета, мобильного телефона). "
Senior Frontend Developer (Remote/Удаленно),https://ekaterinburg.hh.ru/vacancy/41563293?query=react,Санкт-Петербург,ООО Джамакаси Технолоджис,2 400-3 600 USD,
Frontend-разработчик (React),https://ekaterinburg.hh.ru/vacancy/39860273?query=react,Новосибирск,ООО ВилайнТв,от 120 000 руб.,Что нужно будет делать: - разрабатывать пользовательский интерфейс нового продукта. - создавать UI-компоненты с использованием React. - взаимодействовать в команде c Scrum...
JS-разработчик,https://ekaterinburg.hh.ru/vacancy/41605005?query=react,Минск,ООО Айтигенио,2 000-2 500 USD,"Принимать участие в планировании архитектуры системы. Разрабатывать новый функционал (приветствуем TDD). Обмениваться опытом с коллегами, помогать товарищам, code review."
Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/41684702?query=react,Москва,Яндекс,,Разрабатывали под мобильные браузеры. Писали модульные и интеграционные автотесты. Работу над высоконагруженным и активно развивающимся сервисом с ветвистой бизнес-логикой...
Senior Frontend Developer (React),https://ekaterinburg.hh.ru/vacancy/40507306?query=react,Санкт-Петербург,Энерджи Софт,140 000-200 000 руб.,"Проектирование архитектурных решений и компонентов. Имплементация новых фич, багфиксинг. Поддержка существующего кода, code review. Рефакторинг. Написание unit-тестов."
"Backend-разработчик (Node.js, SQL) / Full Stack JavaScript-разработчик",https://ekaterinburg.hh.ru/vacancy/41136156?query=react,Москва,Издательство КНОРУС,от 150 000 руб.,
Senior/Middle Frontend ReactJS Developer,https://ekaterinburg.hh.ru/vacancy/41179640?query=react,Москва,Tawasul Information Technology LLC,200 000-330 000 руб.,"Проработка архитектуры, написание кода. Проведение code review. Ведение документации. Взаимодействие с командой тестирования. Обучение новых сотрудников. Работали с JS-фреймворками..."
Frontend разработчик Vue.js,https://ekaterinburg.hh.ru/vacancy/39107166?query=react,Краснодар,ООО МедРейтинг,90 000-120 000 руб.,Разработка с помощью VUE.js. Кроссбраузерная верстка в соответствии с макетами (Figma).
Web-разработчик,https://ekaterinburg.hh.ru/vacancy/41087126?query=react,Санкт-Петербург,КОРЕАНА,150 000-250 000 руб.,"разработкой (Frontend) нового сайта и мобильного приложения (IOS, Android)."
Senior React Developer,https://ekaterinburg.hh.ru/vacancy/41722467?query=react,Санкт-Петербург,ООО ОнТаргет ЛАБС,5 500-6 500 USD,"Designing and developing high-volume, low-latency features and improvements. Resolving application and component problems, as well as fixing bugs..."
Frontend Developer (React / Angular),https://ekaterinburg.hh.ru/vacancy/40973979?query=react,Краснодар,app smart GmbH,от 100 000 руб.,
